ID,Título,Medio,Ciudad del medio (o país),Mes,Fecha de publicación,Link,KW de búsqueda,Mención en título KW_G1,Mención en título KW_G2,Mención unifficada,
1,Editorial Mapuexpress: Apoyamos el Proceso Constituyente del Pueblo de Chile e invitamos a trabajar por la propia Constitución Mapuche,Mapuexpress.org,Región de La Araucanía,Octubre 2020,05/10/2020,https://www.mapuexpress.org/2020/10/05/editorial-mapuexpress-apoyamos-el-proceso-constituyente-del-pueblo-de-chile-e-invitamos-a-trabajar-por-la-propia-constitucion-mapuche/,Plurinacionalidad,No,Sí,Sí,
5,Pensando una nueva agenda para los pueblos indígenas a partir de la encuesta CIIR,Ciperchile.cl,Región Metropolitana,Octubre 2020,21/10/2020,https://www.ciperchile.cl/2020/10/21/pensando-una-nueva-agenda-para-los-pueblos-indigenas-a-partir-de-la-encuesta-ciir/,Plurinacionalidad,No,Sí,Sí,
8,Autodeterminación de los pueblos indígenas y Estado nación,Telesurtv.net,Venezuela,Octubre 2020,09/10/2020,https://www.telesurtv.net/bloggers/Autodeterminacion-de-los-pueblos-indigenas-y-Estado-nacion-20201009-0002.html,Plurinacionalidad,No,Sí,Sí,
11,"Estado plurinacional y desmercantilización, ejes de la futura Constitución",Cooperativa.cl,Región Metropolitana,Octubre 2020,23/10/2020,https://opinion.cooperativa.cl/opinion/politica/estado-plurinacional-y-desmercantilizacion-ejes-de-la-futura/2020-10-23/144652.html,Plurinacional ,Sí,No,Sí,
18,Alfonso de Urresti y escaños reservados: “La contrapropuesta del gobierno está muy lejos de la solución”,Cnnchile.com,Región Metropolitana,Octubre 2020,28/10/2020,https://www.cnnchile.com/lodijeronencnn/entrevista-alfonso-urresti-escanos-reservados_20201028/,Plurinacional ,No,Sí,Sí,
44,Derechos lingüísticos de los pueblos indígenas y Nueva Constitución,Elmostrador.cl,Región Metropolitana,Octubre 2020,19/10/2020,https://www.elmostrador.cl/dia/2020/10/19/derechos-linguisticos-de-los-pueblos-indigenas-y-nueva-constitucion/,Plurinacional ,No,Sí,Sí,
50,Sólo desde la asunción de la plurinacionalidad se pueden construir gobiernos estables de izquierda,Nuevatribuna.es,España,Noviembre 2020,21/11/2020,https://www.nuevatribuna.es/opinion/candido-marquesan-millan/solo-asuncion-plurinacionalidad-pueden-construir-gobiernos-estables-izquierda/20201121115340181480.html,Plurinacionalidad,Sí,No,Sí,Noviembre
51,El miedo a los constituyentes indígenas,Elmostrador.cl,Región Metropolitana,Noviembre 2020,20/11/2020,https://www.elmostrador.cl/destacado/2020/11/20/el-miedo-a-los-constituyentes-indigenas/,Plurinacionalidad,No,Sí,Sí,
52,El día en que la CAM «se proclamó» como un grupo guerrillero separatista,Ellibero.cl,Región Metropolitana,Noviembre 2020,06/11/2020,https://ellibero.cl/actualidad/el-dia-en-que-la-cam-se-proclamo-como-un-grupo-guerrillero-separatista/,Plurinacionalidad,No,Sí,Sí,
56,El grito constitucional indígena,Latercera.com,Región Metropolitana,Noviembre 2020,21/11/2020,https://www.latercera.com/la-tercera-domingo/noticia/el-grito-constitucional-indigena/CXORHSVFURD55GP4FVB2X44HXA/,Plurinacionalidad,No,Sí,Sí,
57,La hora clave del reconocimiento: escaños reservados y la promesa frustrada,Ciperchile.cl,Región Metropolitana,Noviembre 2020,21/11/2020,https://www.ciperchile.cl/2020/11/21/la-hora-clave-del-reconocimiento-escanos-reservados-y-la-promesa-frustrada/,Plurinacionalidad,No,Sí,Sí,
